Time,PosX,PosY,PosZ,VelX,VelY,VelZ,Steering,Throttle,Brake,LocalVelX,LocalVelY,LocalVelZ,AccLat,AccLong,AccVert,Yaw,Pitch,Roll,DistFromIdeal,Curva,LapTime
619.72,-18.527,0.027,-23.428,36.064,0.020,0.300,0.000,1.000,0.000,0.113,-0.214,36.064,9.762,2.572,-0.250,89.337,359.631,1.202,5.055,,0.02
619.74,-17.805,0.027,-23.410,36.066,-0.012,0.416,0.167,1.000,0.000,-0.003,-0.242,36.067,-5.796,-1.656,0.142,89.346,359.636,359.800,5.200,,0.04
619.76,-17.084,0.027,-23.394,36.067,-0.007,0.507,0.167,1.000,0.000,-0.122,-0.237,36.070,-4.531,0.180,0.124,89.396,359.639,358.949,5.436,,0.06
619.78,-16.363,0.027,-23.401,36.057,0.026,0.284,0.167,1.000,0.000,0.107,-0.212,36.058,11.168,1.456,-0.590,89.374,359.625,0.916,5.734,,0.08
619.80,-15.641,0.027,-23.392,36.074,-0.032,0.324,0.167,1.000,0.000,0.075,-0.255,36.074,-2.045,-2.859,0.827,89.363,359.647,0.432,6.116,,0.10
619.82,-14.920,0.027,-23.371,36.068,0.023,0.515,0.167,1.000,0.000,-0.130,-0.213,36.071,-9.622,2.509,-0.165,89.395,359.631,358.767,6.564,,0.12
619.84,-14.199,0.027,-23.373,36.072,-0.005,0.376,0.254,1.000,0.000,0.006,-0.235,36.073,6.958,-1.413,0.086,89.390,359.635,0.314,7.042,,0.14
619.86,-13.477,0.027,-23.373,36.077,-0.012,0.258,0.254,1.000,0.000,0.130,-0.240,36.077,5.891,-0.492,0.198,89.377,359.643,1.104,7.560,,0.16
619.88,-12.756,0.027,-23.351,36.065,0.030,0.430,0.187,1.000,0.000,-0.105,-0.207,36.066,-8.620,2.000,-0.526,89.490,359.627,359.108,8.122,,0.18
619.90,-12.034,0.027,-23.347,36.081,-0.031,0.315,0.187,1.000,0.000,-0.075,-0.253,36.082,5.784,-3.016,0.773,89.621,359.647,359.695,8.698,,0.20
619.92,-11.313,0.027,-23.357,36.078,0.014,0.017,0.000,1.000,0.000,0.146,-0.221,36.077,14.947,1.860,-0.209,89.734,359.633,1.434,9.287,,0.22
619.94,-10.591,0.027,-23.343,36.083,-0.005,0.069,0.000,1.000,0.000,-0.001,-0.236,36.082,-2.594,-0.978,0.227,89.895,359.633,359.739,9.905,,0.24
619.96,-9.869,0.027,-23.335,36.082,-0.010,0.079,0.000,1.000,0.000,-0.118,-0.237,36.082,-0.488,-0.252,-0.016,90.070,359.643,358.978,10.533,,0.26
619.98,-9.148,0.027,-23.353,36.062,0.028,-0.231,0.000,1.000,0.000,0.147,-0.207,36.062,15.529,1.589,-0.974,90.127,359.632,1.147,11.162,,0.28
620.00,-8.426,0.027,-23.351,36.084,-0.044,-0.172,0.000,1.000,0.000,0.084,-0.260,36.084,-2.970,-3.579,1.089,90.138,359.659,0.303,11.810,,0.30
620.02,-7.705,0.027,-23.340,36.079,0.015,-0.003,0.000,1.000,0.000,-0.116,-0.213,36.079,-8.532,2.737,-0.252,90.196,359.644,358.666,12.469,,0.32
620.04,-6.983,0.027,-23.356,36.073,0.004,-0.180,0.000,1.000,0.000,0.052,-0.224,36.073,8.868,-0.609,-0.280,90.200,359.640,0.515,13.125,,0.34
620.06,-6.262,0.027,-23.364,36.080,-0.020,-0.242,0.000,1.000,0.000,0.138,-0.242,36.080,3.054,-1.267,0.342,90.158,359.652,0.996,13.790,,0.36
620.08,-5.540,0.027,-23.349,36.070,0.041,0.020,0.000,1.000,0.000,-0.136,-0.197,36.070,-13.179,2.809,-0.515,90.190,359.626,358.774,14.468,,0.38
620.10,-4.819,0.027,-23.356,36.090,-0.035,-0.047,-0.099,1.000,0.000,-0.079,-0.257,36.089,3.386,-3.799,0.977,90.203,359.648,359.752,15.143,,0.40
620.12,-4.097,0.027,-23.371,36.085,0.018,-0.207,-0.099,1.000,0.000,0.118,-0.214,36.085,8.032,2.424,-0.230,90.133,359.636,1.351,15.820,,0.42
620.14,-3.375,0.027,-23.359,36.082,0.008,-0.015,-0.041,1.000,0.000,-0.050,-0.223,36.081,-9.552,-0.594,-0.168,90.108,359.634,359.409,16.509,,0.44
620.16,-2.653,0.027,-23.355,36.091,-0.029,0.058,-0.041,1.000,0.000,-0.127,-0.249,36.090,-3.646,-1.906,0.439,90.116,359.655,358.985,17.198,,0.46
620.18,-1.932,0.027,-23.374,36.079,0.039,-0.168,0.000,1.000,0.000,0.141,-0.197,36.078,11.370,3.185,-0.588,90.036,359.630,1.205,17.883,,0.48
620.20,-1.210,0.027,-23.369,36.096,-0.037,-0.065,0.000,1.000,0.000,0.084,-0.256,36.095,-5.166,-3.780,0.845,89.968,359.652,0.191,18.578,,0.50
620.22,-0.488,0.027,-23.357,36.091,0.012,0.115,0.000,1.000,0.000,-0.106,-0.217,36.090,-9.035,2.202,-0.247,89.993,359.641,358.631,19.276,,0.52
620.24,0.234,0.027,-23.370,36.087,0.010,-0.049,0.000,1.000,0.000,0.054,-0.221,36.087,8.214,-0.167,-0.175,89.990,359.634,0.578,19.970,,0.54
620.26,0.956,0.027,-23.374,36.096,-0.025,-0.083,0.000,1.000,0.000,0.114,-0.247,36.095,1.664,-1.777,0.409,89.945,359.651,0.939,20.668,,0.56
620.28,1.677,0.027,-23.356,36.083,0.039,0.192,0.000,1.000,0.000,-0.163,-0.200,36.083,-13.839,2.901,-0.592,89.960,359.627,358.708,21.373,,0.58
620.30,2.399,0.027,-23.361,36.105,-0.037,0.120,0.000,1.000,0.000,-0.088,-0.258,36.104,3.634,-3.782,1.062,89.952,359.649,359.819,22.073,,0.60
620.32,3.121,0.027,-23.372,36.099,0.012,-0.034,0.000,1.000,0.000,0.109,-0.217,36.098,7.743,2.252,-0.298,89.872,359.640,1.375,22.774,,0.62
620.34,3.843,0.027,-23.356,36.094,0.011,0.167,0.000,1.000,0.000,-0.069,-0.219,36.094,-10.060,-0.172,-0.226,89.849,359.636,359.334,23.482,,0.64
620.36,4.565,0.027,-23.350,36.105,-0.033,0.215,0.000,1.000,0.000,-0.132,-0.251,36.104,-2.349,-2.237,0.533,89.875,359.657,359.048,24.188,,0.66
620.38,5.287,0.027,-23.366,36.093,0.041,-0.055,0.000,1.000,0.000,0.150,-0.195,36.092,13.599,3.376,-0.628,89.843,359.630,1.352,24.892,,0.68
620.40,6.009,0.027,-23.357,36.108,-0.038,0.032,0.000,1.000,0.000,0.069,-0.257,36.107,-4.406,-3.944,0.777,89.837,359.653,0.143,25.600,,0.70
620.42,6.731,0.027,-23.344,36.100,0.011,0.172,0.000,1.000,0.000,-0.113,-0.215,36.099,-7.050,2.264,-0.406,89.913,359.646,358.619,26.311,,0.72
620.44,7.453,0.027,-23.358,36.094,0.016,-0.045,0.000,1.000,0.000,0.081,-0.214,36.093,10.869,0.123,-0.289,89.939,359.638,0.731,27.017,,0.74
620.46,8.175,0.027,-23.361,36.105,-0.034,-0.086,0.000,1.000,0.000,0.134,-0.251,36.104,1.989,-2.514,0.541,89.917,359.659,0.921,27.726,,0.76
620.48,8.897,0.027,-23.342,36.093,0.044,0.189,0.000,1.000,0.000,-0.152,-0.193,36.093,-13.800,3.566,-0.581,89.950,359.630,358.597,28.439,,0.78
620.50,9.619,0.027,-23.349,36.108,-0.035,0.090,0.000,1.000,0.000,-0.058,-0.255,36.107,4.957,-3.983,0.738,89.951,359.652,359.916,29.149,,0.80
620.52,10.341,0.027,-23.360,36.101,0.007,-0.045,0.000,1.000,0.000,0.121,-0.218,36.101,6.799,1.980,-0.342,89.871,359.647,1.393,29.858,,0.82
620.54,11.063,0.027,-23.342,36.096,0.019,0.189,0.000,1.000,0.000,-0.090,-0.211,36.095,-11.708,0.411,-0.259,89.848,359.637,359.186,30.572,,0.84
620.56,11.785,0.026,-23.337,36.107,-0.040,0.223,0.000,1.000,0.000,-0.140,-0.255,36.107,-1.668,-2.971,0.573,89.875,359.663,359.107,31.285,,0.86
620.58,12.507,0.027,-23.353,36.097,0.045,-0.056,0.000,1.000,0.000,0.145,-0.191,36.096,14.066,3.867,-0.538,89.851,359.632,1.472,31.996,,0.88
620.60,13.229,0.027,-23.343,36.109,-0.035,0.053,-0.448,1.000,0.000,0.039,-0.254,36.108,-5.475,-3.984,0.587,89.854,359.653,0.023,32.710,,0.90
620.62,13.952,0.027,-23.330,36.103,0.004,0.178,-0.448,1.000,0.000,-0.127,-0.219,36.102,-6.273,1.796,-0.278,89.929,359.651,358.592,33.425,,0.92
620.64,14.674,0.027,-23.346,36.097,0.024,-0.078,-0.448,1.000,0.000,0.112,-0.206,36.096,12.820,0.803,-0.315,89.941,359.637,0.912,34.137,,0.94
620.66,15.396,0.026,-23.347,36.111,-0.045,-0.088,-0.448,1.000,0.000,0.145,-0.257,36.110,0.430,-3.433,0.723,89.904,359.666,0.819,34.851,,0.96
620.68,16.118,0.027,-23.328,36.100,0.045,0.198,-0.496,1.000,0.000,-0.141,-0.190,36.100,-14.423,4.081,-0.527,89.917,359.634,358.455,35.568,,0.98
620.70,16.840,0.027,-23.335,36.107,-0.030,0.153,-0.496,1.000,0.000,-0.041,-0.247,36.106,2.260,-3.713,0.315,89.822,359.655,359.904,36.282,,1.00
620.72,17.562,0.027,-23.342,36.102,0.016,0.172,-0.487,1.000,0.000,0.111,-0.207,36.102,-0.908,2.301,-0.192,89.545,359.649,1.126,36.996,,1.02
620.74,18.284,0.027,-23.317,36.082,0.026,0.610,-0.487,1.000,0.000,-0.126,-0.206,36.087,-21.892,0.061,-0.715,89.240,359.636,358.797,37.714,,1.04
620.76,19.006,0.026,-23.308,36.105,-0.054,0.734,0.000,1.000,0.000,-0.103,-0.269,36.111,-6.163,-4.092,1.220,89.003,359.661,359.231,38.430,,1.06
620.78,19.728,0.027,-23.309,36.100,0.049,0.688,0.000,1.000,0.000,0.115,-0.190,36.105,2.400,5.072,-0.289,88.719,359.625,1.201,39.146,,1.08
620.80,20.449,0.027,-23.279,36.075,-0.006,1.059,0.000,1.000,0.000,-0.066,-0.235,36.089,-18.508,-2.933,-0.758,88.428,359.639,359.428,39.865,,1.10
620.82,21.170,0.027,-23.248,36.064,-0.031,1.394,0.000,1.000,0.000,-0.199,-0.250,36.090,-16.731,-1.682,0.027,88.113,359.660,358.466,40.584,,1.12
620.84,21.893,0.027,-23.241,36.070,0.056,1.281,0.000,1.000,0.000,0.095,-0.185,36.092,5.711,4.236,0.099,87.809,359.621,1.070,41.301,,1.14
620.86,22.613,0.027,-23.212,36.060,-0.052,1.362,0.000,1.000,0.000,0.078,-0.262,36.084,-4.099,-5.324,-0.390,87.709,359.668,0.664,42.020,,1.16
620.88,23.334,0.027,-23.165,36.037,0.033,1.627,0.000,1.000,0.000,-0.223,-0.194,36.073,-13.406,3.843,-0.578,87.777,359.649,358.422,42.740,,1.18
620.90,24.055,0.027,-23.148,36.048,-0.028,1.443,0.000,1.000,0.000,-0.081,-0.239,36.076,9.186,-3.085,0.171,87.834,359.664,0.328,43.458,,1.20
